 ,Label,Cell_ID,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,Pole_RadiusDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,Pole_RadiusBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event32_tirf_RAW_Stack.tif,1,4,788,69.42259,54705.0,43,232,26.63925,246.89667999999998,267.36329,11.488439999999999,112,58.41964,6543.0,30,77,11.255139999999999,1,0,199.0,243.0,11.488439999999999,112,115.0,12880.0,54,232,46.23637,4,0,1.3861,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event5_tirf_RAW_Stack.tif,1,4,752,79.98404000000001,60148.0,20,218,32.94938,185.0,247.0,11.83428,112,92.78571,10392.0,22,211,43.19627,2,0,221.90993999999998,280.72402999999997,11.83428,112,109.76786000000001,12294.0,26,218,53.721669999999996,4,0,1.4274200000000001,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event6_tirf_RAW_Stack.tif,1,4,695,77.26043,53696.0,26,304,41.50025,300.0,263.0,10.74342,97,88.7732,8611.0,20,184,45.1893,4,0,250.0,253.0,10.74342,97,137.02062,13291.0,40,304,71.03916,3,0,1.77899,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event7_tirf_RAW_Stack.tif,1,4,838,55.39141,46418.0,37,119,11.43438,297.0,200.0,11.56982,112,55.223209999999995,6185.0,31,70,9.909239999999999,0,0,279.0,145.0,11.56982,112,68.19643,7638.0,37,119,21.15061,2,0,1.16244,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR4_0_event9_tirf_RAW_Stack.tif,1,4,854,70.27283,60013.0,38,202,21.92039,163.97442,292.89934,12.184660000000001,137,61.262769999999996,8393.0,36,85,13.35118,1,0,109.0,290.0,12.184660000000001,137,98.75182,13529.0,51,202,38.07882,2,0,1.21825,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event1_tirf_RAW_Stack.tif,1,5,981,50.97044,50002.0,22,99,14.02731,246.63253999999998,248.68195,11.85175,112,40.05357,4486.0,18,75,14.15731,0,0,289.84637000000004,297.7735,11.85175,112,52.82143000000001,5916.0,11,99,21.61715,3,0,0.88771,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event10_tirf_RAW_Stack.tif,1,5,1086,44.29742,48107.0,27,86,9.61704,183.18027,136.2463,12.22681,137,36.62044,5017.0,24,75,10.39523,0,0,246.0,170.0,12.22681,137,41.20438,5645.0,25,59,9.30776,4,0,0.8438200000000001,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event11_tirf_RAW_Stack.tif,1,5,2286,57.951440000000005,132477.0,11,326,40.0986,265.0,373.0,11.40175,112,88.83929,9950.0,15,194,48.20649,5,0,265.58776,373.38999,11.40175,112,88.83929,9950.0,15,194,48.20649,5,0,1.62721,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event12_tirf_RAW_Stack.tif,1,5,917,37.78844,34652.0,10,134,20.18471,201.0,232.0,11.672930000000001,112,53.5,5992.0,20,89,19.854879999999998,2,0,253.0,256.0,11.672930000000001,112,63.526790000000005,7115.0,14,134,34.88487,3,0,1.8821,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event13_tirf_RAW_Stack.tif,1,5,1136,49.014959999999995,55681.0,25,155,16.632929999999998,323.0,286.0,11.73288,112,54.285709999999995,6080.0,25,94,16.59123,4,0,273.0,342.0,11.73288,112,80.86607,9057.0,43,155,29.49622,5,0,1.52006,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event14_tirf_RAW_Stack.tif,1,5,906,54.390730000000005,49278.0,27,137,17.53726,281.44759,279.60955,14.4329,177,57.694919999999996,10212.0,26,107,21.044529999999998,2,0,242.0,312.0,14.4329,177,65.06215,11516.0,28,137,27.774490000000004,1,0,1.2298,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event15_tirf_RAW_Stack.tif,1,5,1000,47.82899999999999,47829.0,27,94,11.2312,194.0,275.0,11.841510000000001,112,53.35714,5976.0,35,81,12.287,1,0,138.0,248.0,11.841510000000001,112,59.535709999999995,6668.0,38,94,15.2019,2,0,1.24492,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event16_tirf_RAW_Stack.tif,1,5,1012,55.299409999999995,55963.0,28,140,16.71931,196.0,290.0,13.77927,156,59.60256,9298.0,29,107,18.5586,1,0,254.69,317.23397,13.77927,156,68.91667,10751.0,27,140,29.700429999999997,3,0,1.25248,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event2_tirf_RAW_Stack.tif,1,5,614,61.38111,37688.0,35,119,14.82254,349.33688,248.60045,11.76985,112,63.64286,7128.0,38,86,14.21004,1,0,313.0,259.0,11.76985,112,76.33036,8549.0,45,119,19.47204,4,0,1.24005,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event3_tirf_RAW_Stack.tif,1,5,1863,75.26302,140215.0,41,230,24.063860000000002,184.0,243.0,11.18941,112,100.40179,11245.0,52,178,33.896359999999994,3,0,311.0,301.0,11.18941,112,124.21428999999999,13912.0,45,230,51.668279999999996,6,0,1.5998299999999999,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event5_tirf_RAW_Stack.tif,1,5,806,165.8933,133710.0,75,464,63.675309999999996,258.55045,247.62276,12.77717,137,135.0292,18499.0,42,247,53.722730000000006,0,0,232.0,207.0,12.77717,137,259.76642000000004,35588.0,133,464,86.37378000000001,0,0,1.31891,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event7_tirf_RAW_Stack.tif,1,5,865,78.63931,68023.0,24,468,69.81026999999999,99.05743000000001,205.85935,10.77678,97,65.25773000000001,6330.0,26,105,18.12875,1,0,153.0,228.0,10.77678,97,213.81443,20740.0,24,468,135.50133,9,0,2.28625,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR5_0_event9_tirf_RAW_Stack.tif,1,5,1155,60.97922,70431.0,19,190,29.9075,152.11514,203.41181,9.24003,80,35.6625,2853.0,22,51,6.06493,5,0,178.93221,218.19035,9.24003,80,40.1625,3213.0,17,68,14.83022,0,0,0.58608,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event1_tirf_RAW_Stack.tif,1,6,1177,51.46134,60570.0,30,121,13.56449,243.0,377.0,13.907070000000001,156,55.955130000000004,8729.0,28,97,17.71143,3,0,195.0,324.0,13.907070000000001,156,63.42949,9895.0,29,121,21.75527,3,0,1.23096,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event10_tirf_RAW_Stack.tif,1,6,1066,72.52158,77308.0,37,288,37.61957,258.0,311.0,9.626710000000001,80,74.5375,5963.0,44,110,17.62546,1,0,226.99177999999998,229.38192,9.626710000000001,80,113.4625,9077.0,46,288,70.67951,3,0,1.3677,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event11_tirf_RAW_Stack.tif,1,6,2428,30.74918,74659.0,6,200,23.10752,267.43318999999997,366.22756,6.59771,37,12.91892,478.0,3,23,5.62918,3,0,307.78676,388.44622000000004,6.59771,37,17.43243,645.0,12,25,3.44432,4,0,0.4858,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event13_tirf_RAW_Stack.tif,1,6,962,52.19543,50212.0,32,97,12.48071,299.10037,183.26806000000002,13.8412,156,40.28205,6284.0,26,63,9.83791,0,0,343.0,199.0,13.8412,156,63.76923000000001,9948.0,34,97,16.66747,2,0,0.99519,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event15_tirf_RAW_Stack.tif,1,6,567,66.68078,37808.0,33,110,13.23765,325.47869,219.45312,12.18604,137,60.28467,8259.0,23,84,13.94524,2,0,312.0,188.0,12.18604,137,74.10949000000001,10153.0,42,110,17.00851,2,0,1.01509,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event16_tirf_RAW_Stack.tif,1,6,700,28.51,19957.0,7,75,12.571110000000001,234.0,274.0,9.684660000000001,80,42.3375,3387.0,19,72,13.967360000000001,1,0,277.0,273.0,9.684660000000001,80,45.025,3602.0,11,75,17.15896,3,0,1.81893,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event17_tirf_RAW_Stack.tif,1,6,1014,43.5927,44203.0,27,80,9.164010000000001,371.15321,394.67338,13.453829999999998,156,42.0,6552.0,24,66,10.872869999999999,3,0,322.0,369.0,13.453829999999998,156,51.6859,8063.0,29,80,12.74656,2,0,1.1113899999999999,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event18_tirf_RAW_Stack.tif,1,6,1216,38.02878,46243.0,12,137,16.53668,291.0,310.0,13.12994,156,38.58333,6019.0,14,77,18.15416,1,0,239.0,260.0,13.12994,156,51.59615,8049.0,13,137,29.913809999999998,2,0,1.26686,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event2_tirf_RAW_Stack.tif,1,6,997,54.6339,54470.0,31,143,17.002760000000002,304.0,254.0,12.5,137,60.94161,8349.0,30,113,22.31814,2,0,239.13171,243.21021000000002,12.5,137,71.05839,9735.0,38,143,27.12953,2,0,1.31144,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event23_tirf_RAW_Stack.tif,1,6,1171,45.101620000000004,52814.0,29,68,8.2808,196.63099,256.42207,13.7419,156,34.35897,5360.0,20,55,7.42702,3,0,127.0,234.0,13.7419,156,48.53846,7572.0,27,68,9.99509,2,0,0.89274,mNG_PilG_fliC-,Solid
1,mNG_PilG_fliC-_sol_Microchannel_BR6_0_event24_tirf_RAW_Stack.tif,1,6,932,62.10621999999999,57883.0,31,111,14.888720000000001,270.44176,237.56922000000003,15.410620000000002,208,54.51923000000001,11340.0,29,80,14.483360000000001,0,0,282.00081,287.55856,15.410620000000002,208,62.985580000000006,13101.0,25,111,24.37756,1,0,0.90653,mNG_PilG_fliC-,Solid
