 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,StdDev,Median,Slice
1,mNG_pilU_fliC-_sol_BR=1_1_event23_tirf_RAW_Stack.tif,578,255,255,255,19.47059,32.22145,3,664,522.29669,346805.0,212,1328,211.26244,360.26862,336.12254,112,545.27679,61071.0,158,1009,231.79951,0,0,335.92979,294.76091,112,697.0,78064.0,202,1328,365.36204,2,0,1.31603,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event25_tirf_RAW_Stack.tif,1052,255,255,255,32.5076,47.73004,3,1181,224.28874,264885.0,87,583,67.72568000000001,260.73963,245.36603,137,179.82482,24636.0,75,294,52.46328000000001,1,0,216.80103,310.00235,137,236.22628,32363.0,83,583,122.52965,2,0,0.90761,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event26_tirf_RAW_Stack.tif,732,255,255,255,29.39617,40.37705,3,831,283.72323,235774.0,110,461,83.50262,281.9841600000001,320.1400799999999,112,215.91071,24182.0,83,334,69.48868,1,0,311.01584,272.85992000000005,112,261.92857000000004,29336.0,119,447,98.91963,1,0,0.79572,mNG_pilU_fliC-,Solid,,,,
2,mNG_pilU_fliC-_sol_BR=1_1_event26_tirf_RAW_Stack.tif,545,255,255,255,20.57156,28.48165,3,621,210.98068,131019.0,107,313,52.3016,371.16079,362.07985,112,178.11607,19949.0,93,256,43.5422,1,0,393.57668,396.09324,112,192.625,21574.0,85,301,55.12968000000001,1,0,0.82229,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event27_tirf_RAW_Stack.tif,695,255,255,255,37.61942,24.66115,3,786,203.26209,159764.0,100,431,58.44523,362.61607,330.22706,137,191.07299,26177.0,94,293,54.0269,0,0,407.07742,354.4974,137,229.70803,31470.0,70,431,101.9328,0,0,1.05487,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event3_tirf_RAW_Stack.tif,388,255,255,255,32.8866,12.75515,3,443,230.52596,102123.0,113,687,88.67729,277.20738,482.66761,97,205.54639,19938.0,105,276,43.37579,1,0,305.22945,490.80812,97,243.80412,23649.0,69,687,162.60789,0,0,0.95572,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event5_tirf_RAW_Stack.tif,985,255,255,255,60.05736,19.99746,3,1108,320.61643,355243.0,133,1048,130.9179,247.04513,320.05404,97,336.94845,32684.0,96,629,149.08229,2,0,332.00201,302.16974,97,496.80412,48190.0,118,1048,275.42545,3,0,1.38873,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event6_tirf_RAW_Stack.tif,705,255,255,255,17.3695,39.27447,3,790,187.04177,147763.0,93,353,46.9553,445.46885,327.90492,137,144.81022,19839.0,60,225,49.57296,0,0,455.18207,276.83652,137,196.10949,26867.0,66,353,81.87146,0,0,0.8703700000000001,mNG_pilU_fliC-,Solid,,,,
2,mNG_pilU_fliC-_sol_BR=1_1_event6_tirf_RAW_Stack.tif,781,255,255,255,31.02369,35.014720000000004,3,884,140.00452,123764.0,67,270,36.58379,94.71936,240.9523,137,113.10949,15496.0,65,151,23.29847,0,0,131.79108,195.64735,137,151.79562,20796.0,65,270,55.94563,1,0,0.92368,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event7_tirf_RAW_Stack.tif,620,255,255,255,28.79516,31.69194,3,711,254.14627,180698.0,101,429,73.32106999999998,269.45476,294.66479,112,240.53571,26940.0,112,397,77.28629000000002,0,0,237.84462,333.57869,112,244.69643,27406.0,125,357,68.00475,0,0,0.93512,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_sol_BR=1_1_event8_tirf_RAW_Stack.tif,634,255,255,255,26.76656,32.593059999999994,3,724,214.9558,155628.0,85,450,64.58614,195.35045,326.47237,112,234.76786,26294.0,104,373,75.51445,1,0,226.35755,287.29622,112,251.77679,28199.0,100,450,96.81809,0,0,1.20271,mNG_pilU_fliC-,Solid,,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event11_tirf_RAW_Stack.tif,566,255,255,255,25.44523,43.98763,4,639,276.93271,176960.0,126,1108,150.16687,192.76617,257.54104,112,190.08036,21289.0,113,248,33.897870000000005,0,0,200.04745,211.42954,112,448.17857,50196.0,109,1108,281.17662,0,0,1.25564,mNG_pilU_fliC-,Liquid,1.0,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event12_tirf_RAW_Stack.tif,479,255,255,255,24.67954,40.20355,4,542,592.2417,320995.0,263,1974,298.01483,315.49583,282.35937,112,432.96429000000006,48492.0,166,610,119.03637,2,0,305.03582,249.47126,112,930.125,104174.0,246,1974,478.51407,3,0,1.28755,mNG_pilU_fliC-,Liquid,1.0,,,
1,mNG_pilU_fliC-_liq_Gasket_0_event13_tirf_RAW_Stack.tif,882,255,255,255,54.47732,41.58617,4,998,246.13327,245641.0,92,693,88.13333,368.80083,197.59943,137,173.42336,23759.0,80,235,43.75966,0,0,313.17682,236.3685,137,313.56934,42959.0,89,693,150.80913,0,0,0.98529,mNG_pilU_fliC-,Liquid,1.0,,,
