 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,StdDev,Median,Slice
1,mNG_pilT_fliC-_liq_Gasket_0_event2_tirf_RAW_Stack.tif,507,255,255,255,23.69132,24.75444,1,578,223.3218,129080.0,89,337,60.26201999999999,149.61233,220.57199,112,172.25893,19293.0,46,267,56.64489,0,0,174.78249,193.85601,112,197.82143,22156.0,83,312,64.95199000000001,0,0,0.7475,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event2_tirf_RAW_Stack.tif,390,255,255,255,24.52308,14.98718,1,444,204.75901,90913.0,98,296,47.32161,217.09645,322.36013,137,153.46715,21025.0,23,252,56.37546,0,0,192.71046,314.22074,137,198.18248,27151.0,77,290,53.21726,0,0,0.6994,mNG_pilT_fliC-,Liquid,,,,
3,mNG_pilT_fliC-_liq_Gasket_0_event2_tirf_RAW_Stack.tif,647,255,255,255,34.01468,26.08578,1,734,421.36649000000006,309283.0,190,673,105.91786,379.99887,188.85503,137,338.4087600000001,46362.0,147,519,100.16402,0,0,342.00113,218.14497000000003,137,353.0146,48363.0,149,515,110.10703,0,0,0.74119,mNG_pilT_fliC-,Liquid,,,,
4,mNG_pilT_fliC-_liq_Gasket_0_event2_tirf_RAW_Stack.tif,609,255,255,255,12.56404,40.72989000000001,1,682,278.0176,189608.0,138,473,72.37484,240.2191,195.65284,208,201.23558,41857.0,74,311,67.12313,0,0,238.1148,238.30827,208,288.55288,60019.0,97,473,108.63651000000002,0,0,0.74251,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event20_tirf_RAW_Stack.tif,548,255,255,255,23.04015,32.085770000000004,1,620,230.48548,142901.0,111,392,54.37596,193.44766,327.34981,137,217.86131,29847.0,83,351,60.62192,0,0,211.4277,360.17848,137,232.87591,31904.0,90,392,84.85597,3,0,0.96091,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event21_tirf_RAW_Stack.tif,655,255,255,255,28.25267,29.12595,1,744,359.84409,267724.0,182,611,80.515,342.5094200000001,275.38852,137,308.52555,42268.0,140,462,79.20729,0,0,309.27657,309.40269,137,365.85401,50122.0,150,611,125.4144,1,0,0.90387,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event22_tirf_RAW_Stack.tif,473,255,255,255,13.11945,31.38372,1,537,328.5419,176427.0,182,460,75.20188,281.2027,347.47973,112,266.25893,29821.0,127,365,63.0232,0,0,271.38094,312.63885,112,316.79464,35481.0,156,448,89.75825,0,0,0.8211299999999999,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event23_tirf_RAW_Stack.tif,720,255,255,255,19.93889,45.06944,1,808,196.10891,158456.0,94,403,47.00867,198.26868,283.16214,137,171.90511,23551.0,89,230,38.05045,0,0,209.73132,338.8378600000001,137,219.9781,30137.0,70,403,83.2932,1,0,0.99871,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event23_tirf_RAW_Stack.tif,950,255,255,255,23.55053,50.01684,1,1066,255.58818,272457.0,139,439,54.63016,361.22781,230.60545,156,228.65385,35670.0,103,349,62.56925,1,0,341.92108,299.4363,156,268.03846,41814.0,109,439,100.72856,1,0,0.9604,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event24_tirf_RAW_Stack.tif,699,255,255,255,11.50858,44.12947,1,784,330.8227,259365.0,158,574,70.64055,226.4409,126.99628,137,289.15328,39614.0,135,437,82.95258000000003,0,0,226.4409,183.00372,137,327.4379600000001,44859.0,128,574,121.94357,3,0,0.89902,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event24_tirf_RAW_Stack.tif,599,255,255,255,31.55175,21.19449,1,680,252.31324,171573.0,130,357,49.86306,231.08591,353.69323,112,209.88393,23507.0,96,297,59.94318000000001,0,0,262.4465,332.09799,112,231.32143,25908.0,103,357,68.14944,0,0,0.8234799999999999,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event25_tirf_RAW_Stack.tif,693,255,255,255,16.05844,39.29076,1,775,294.65677,228359.0,163,630,67.47273,285.37765,305.899,137,247.70073,33935.0,108,337,59.37398,0,0,297.48304,255.06786,137,320.44526,43901.0,139,630,123.48362,2,0,0.94551,mNG_pilT_fliC-,Liquid,,,,
1,mNG_pilT_fliC-_liq_Gasket_0_event26_tirf_RAW_Stack.tif,422,255,255,255,27.22038,19.94787,1,483,165.83851,80100.0,84,377,45.62852,186.90973,264.81304,112,153.5,17192.0,91,193,28.1537,0,0,160.02361000000005,280.06956,112,193.32143,21652.0,72,377,76.86518000000002,0,0,1.08865,mNG_pilT_fliC-,Liquid,,,,
2,mNG_pilT_fliC-_liq_Gasket_0_event26_tirf_RAW_Stack.tif,516,255,255,255,30.75581,16.2345,1,590,139.99492,82597.0,73,309,36.77161,376.02344,424.58145,97,128.80411999999998,12494.0,72,165,22.4674,0,0,417.03566,438.2418,97,160.90722,15608.0,59,309,74.91176999999998,0,0,1.05263,mNG_pilT_fliC-,Liquid,,,,
3,mNG_pilT_fliC-_liq_Gasket_0_event26_tirf_RAW_Stack.tif,492,255,255,255,11.92683,30.39837,1,551,226.27223,124676.0,124,416,47.79854,373.37673,247.14124,112,211.48214,23686.0,84,311,62.84157,0,0,368.86793,211.82754,112,240.61607,26949.0,100,416,88.11962,0,0,0.99834,mNG_pilT_fliC-,Liquid,,,,
